iter	Passed	Remaining
592	12447	19038
593	12466	19015
594	12484	18988
595	12502	18962
596	12519	18936
597	12537	18911
598	12556	18886
599	12574	18862
600	12593	18837
601	12612	18813
602	12630	18788
603	12648	18762
604	12666	18737
605	12690	18721
606	12712	18702
607	12735	18684
608	12754	18659
609	12773	18636
610	12791	18611
611	12811	18589
612	12831	18567
613	12852	18545
614	12871	18522
615	12893	18503
616	12915	18483
617	12935	18462
618	12957	18442
619	12978	18421
620	12998	18399
621	13028	18390
622	13064	18391
623	13090	18376
624	13113	18359
625	13139	18344
626	13161	18325
627	13184	18306
628	13204	18284
629	13229	18269
630	13250	18248
631	13272	18228
632	13295	18210
633	13321	18196
634	13342	18175
635	13364	18155
636	13385	18134
637	13404	18111
638	13427	18092
639	13453	18078
640	13476	18059
641	13496	18036
642	13516	18015
643	13537	17994
644	13558	17972
645	13580	17953
646	13601	17932
647	13624	17913
648	13646	17893
649	13668	17873
650	13691	17855
651	13719	17843
652	13742	17825
653	13759	17799
654	13778	17775
655	13795	17749
656	13813	17724
657	13833	17701
658	13851	17677
659	13869	17652
660	13888	17628
661	13906	17603
662	13924	17578
663	13942	17554
664	13962	17531
665	13980	17506
666	13998	17481
667	14016	17457
668	14036	17435
669	14053	17410
670	14073	17387
671	14094	17366
672	14112	17342
673	14130	17317
674	14148	17292
675	14167	17268
676	14185	17244
677	14204	17220
678	14222	17197
679	14241	17173
680	14262	17152
681	14284	17132
682	14305	17112
683	14327	17092
684	14348	17071
685	14369	17050
686	14390	17029
687	14410	17008
688	14430	16986
689	14449	16962
690	14467	16938
691	14487	16915
692	14504	16890
693	14521	16864
694	14538	16839
695	14555	16814
696	14573	16789
697	14597	16772
698	14615	16748
699	14634	16725
700	14653	16701
701	14672	16678
702	14689	16653
703	14707	16629
704	14724	16604
705	14741	16579
706	14757	16552
707	14773	16526
708	14792	16503
709	14811	16480
710	14830	16457
711	14854	16439
712	14873	16417
713	14892	16394
714	14911	16371
715	14926	16344
716	14942	16317
717	14958	16292
718	14975	16266
719	14990	16240
720	15006	16213
721	15022	16187
722	15040	16163
723	15057	16138
724	15075	16114
725	15094	16092
726	15115	16071
727	15134	16049
728	15154	16027
729	15171	16003
730	15186	15975
731	15203	15950
732	15220	15926
733	15238	15902
734	15256	15879
735	15276	15857
736	15294	15833
737	15312	15810
738	15331	15787
739	15350	15765
740	15371	15744
741	15389	15720
742	15406	15696
743	15425	15673
744	15444	15651
745	15464	15630
746	15492	15616
747	15513	15596
748	15534	15575
749	15553	15553
750	15575	15533
751	15600	15517
752	15623	15498
753	15644	15478
754	15662	15455
755	15681	15432
756	15699	15409
757	15717	15385
758	15735	15362
759	15752	15338
760	15771	15315
761	15788	15291
762	15807	15268
763	15824	15244
764	15842	15221
765	15860	15197
766	15878	15174
767	15895	15150
768	15914	15127
769	15933	15105
770	15951	15082
771	15971	15060
772	15988	15037
773	16006	15013
774	16025	14991
775	16042	14967
776	16060	14944
777	16078	14920
778	16096	14898
779	16115	14875
780	16135	14854
781	16156	14833
782	16174	14811
783	16193	14788
784	16210	14764
785	16239	14752
786	16256	14728
787	16274	14704
788	16293	14682
789	16311	14659
790	16329	14636
791	16348	14614
792	16366	14591
793	16385	14569
794	16404	14547
795	16422	14524
796	16440	14501
797	16460	14479
798	16478	14457
799	16499	14436
800	16515	14412
801	16533	14389
802	16551	14366
803	16570	14344
804	16589	14322
805	16608	14300
806	16627	14278
807	16655	14264
808	16676	14244
809	16701	14227
810	16724	14208
811	16741	14184
812	16761	14163
813	16778	14140
814	16796	14117
815	16815	14095
816	16834	14073
817	16853	14051
818	16871	14028
819	16888	14005
820	16920	13993
821	16938	13971
822	16956	13948
823	16974	13925
824	16991	13902
825	17008	13878
826	17026	13855
827	17043	13832
828	17059	13808
829	17076	13784
830	17093	13761
831	17111	13738
832	17129	13715
833	17146	13692
834	17166	13671
835	17185	13649
836	17205	13628
837	17226	13608
838	17243	13585
839	17262	13563
840	17280	13540
841	17298	13518
842	17316	13495
843	17334	13473
844	17354	13452
845	17371	13428
846	17390	13407
847	17408	13384
848	17424	13361
849	17443	13338
850	17460	13315
851	17477	13292
852	17495	13270
853	17513	13248
854	17531	13225
855	17548	13202
856	17567	13180
857	17585	13158
858	17603	13136
859	17621	13113
860	17640	13092
861	17659	13070
862	17676	13047
863	17694	13025
864	17711	13002
865	17729	12980
866	17747	12957
867	17764	12934
868	17784	12913
869	17802	12891
870	17819	12868
871	17838	12846
872	17857	12825
873	17875	12803
874	17894	12781
875	17914	12760
876	17937	12742
877	17961	12724
878	17980	12702
879	17999	12681
880	18020	12661
881	18039	12639
882	18056	12616
883	18073	12593
884	18090	12571
885	18107	12548
886	18125	12526
887	18143	12504
888	18162	12482
889	18179	12460
890	18199	12439
891	18217	12417
892	18236	12396
893	18262	12379
894	18281	12358
895	18299	12335
896	18318	12314
897	18336	12292
898	18353	12269
899	18372	12248
900	18390	12226
901	18409	12204
902	18427	12182
903	18446	12161
904	18465	12140
905	18484	12118
906	18502	12097
907	18522	12076
908	18541	12054
909	18561	12034
910	18594	12022
911	18613	12001
912	18630	11978
913	18649	11956
914	18667	11934
915	18685	11912
916	18704	11891
917	18724	11870
918	18741	11848
919	18760	11827
920	18779	11805
921	18797	11783
922	18816	11762
923	18835	11741
924	18852	11718
925	18869	11696
926	18887	11675
927	18906	11653
928	18924	11631
929	18942	11609
930	18960	11588
931	18979	11566
932	18997	11544
933	19015	11523
934	19033	11501
935	19054	11481
936	19075	11461
937	19095	11441
938	19114	11419
939	19134	11399
940	19155	11379
941	19176	11359
942	19199	11340
943	19222	11321
944	19246	11303
945	19266	11282
946	19286	11262
947	19304	11240
948	19322	11218
949	19340	11197
950	19358	11175
951	19376	11153
952	19395	11132
953	19412	11110
954	19429	11088
955	19445	11065
956	19463	11043
957	19480	11021
958	19512	11007
959	19531	10986
960	19550	10965
961	19568	10943
962	19586	10921
963	19603	10900
964	19622	10878
965	19642	10858
966	19661	10837
967	19679	10815
968	19697	10793
969	19714	10771
970	19731	10749
971	19750	10728
972	19768	10707
973	19786	10685
974	19804	10663
975	19820	10641
976	19837	10619
977	19854	10597
978	19873	10576
979	19891	10554
980	19910	10533
981	19927	10511
982	19946	10490
983	19965	10469
984	19985	10449
985	20002	10427
986	20021	10406
987	20038	10384
988	20056	10362
989	20074	10341
990	20092	10319
991	20109	10298
992	20127	10276
993	20145	10254
994	20163	10233
995	20179	10211
996	20196	10189
997	20216	10168
998	20234	10147
999	20256	10128
1000	20276	10107
1001	20300	10089
1002	20323	10070
1003	20342	10049
1004	20363	10029
1005	20385	10010
1006	20404	9989
1007	20427	9970
1008	20442	9947
1009	20460	9926
1010	20476	9904
1011	20492	9881
1012	20509	9859
1013	20526	9838
1014	20545	9817
1015	20561	9795
1016	20578	9773
1017	20596	9751
1018	20614	9730
1019	20634	9710
1020	20651	9688
1021	20669	9667
1022	20685	9645
1023	20703	9624
1024	20722	9603
1025	20741	9582
1026	20760	9561
1027	20778	9540
1028	20796	9519
1029	20813	9497
1030	20831	9476
1031	20848	9454
1032	20865	9432
1033	20881	9410
1034	20899	9389
1035	20918	9368
1036	20936	9347
1037	20954	9326
1038	20973	9305
1039	20992	9285
1040	21010	9264
1041	21028	9242
1042	21045	9221
1043	21074	9204
1044	21089	9182
1045	21109	9162
1046	21127	9141
1047	21145	9119
1048	21162	9098
1049	21181	9077
1050	21199	9056
1051	21218	9036
1052	21237	9015
1053	21257	8994
1054	21277	8974
1055	21294	8953
1056	21311	8931
1057	21331	8911
1058	21349	8890
1059	21369	8870
1060	21387	8849
1061	21404	8828
1062	21423	8807
1063	21443	8786
1064	21462	8766
1065	21483	8746
1066	21505	8727
1067	21527	8707
1068	21549	8688
1069	21569	8668
1070	21588	8647
1071	21611	8628
1072	21632	8608
1073	21650	8587
1074	21668	8566
